filename,status,original_width,original_height,original_aspect,channels,color_mean_R,color_mean_G,color_mean_B,color_std_R,color_std_G,color_std_B,color_mean_hsv_H,color_mean_hsv_S,color_mean_hsv_V,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,hog_mean,hog_std,hog_max,hog_energy,hog_vector_length,sift_num_keypoints,sift_mean_response,sift_std_response,sift_mean_size,sift_mean_angle,sift_descriptor_mean,sift_descriptor_std,surf_method,surf_num_keypoints,surf_descriptor_mean,surf_descriptor_std,surf_mean_response,surf_mean_size
0000_image10025.jpg,success,224,224,1.0,3,158.0056,156.528015,158.762222,57.951496,59.895687,59.833889,84.784615,20.490852,163.293686,31.727543,15.21898,3.123671,0.907895,0.431359,0.086335,0.071457,0.010267,0.927469,0.034722,0.005211,0.001521,0.109216,0.125895,0.692582,729.0,26244,205,0.041693,0.009224,6.711925,197.784582,23.350153,38.764477,ORB_fallback,317,140.996552,73.818146,7.1e-05,40.908536
0001_image10097.jpg,success,224,224,1.0,3,120.150986,114.994102,111.536674,61.003246,61.279228,61.683674,56.929188,37.658661,122.84066,71.24795,37.237244,4.523506,1.368672,0.360324,0.068569,0.045302,0.006348,0.84578,0.080516,0.002093,0.000603,0.123134,0.11232,0.546924,729.0,26244,397,0.074259,0.011483,4.260251,165.769922,25.374725,37.470989,ORB_fallback,433,128.170685,74.281136,0.001294,46.976382
0002_image1051.jpg,success,224,224,1.0,3,195.95253,182.82869,173.162369,51.112232,62.737915,68.975212,25.419184,40.131279,196.511566,74.376065,33.23941,3.770782,1.111283,0.548471,0.069261,0.097284,0.011946,0.831992,0.074724,0.009607,0.002381,0.106514,0.128189,0.692526,729.0,26244,193,0.073319,0.007457,2.956574,169.061767,25.500526,37.392258,ORB_fallback,419,134.818024,73.636986,0.001657,45.784497
0003_image10324.jpg,success,224,224,1.0,3,225.870834,225.759354,225.569946,39.5299,39.976604,40.336224,15.30387,1.142937,226.121994,12.559741,6.102858,0.988841,0.336267,0.842556,0.029618,0.513888,0.006949,0.935403,0.031276,0.26413,0.007152,0.053318,0.131003,1.0,525.0,26244,61,0.031968,0.012607,7.717815,174.553271,21.502306,39.843529,ORB_fallback,156,134.138824,74.601028,9.6e-05,43.290095
0004_image0934.jpg,success,224,224,1.0,3,248.342636,248.022766,247.746307,26.728943,27.927202,28.69717,7.643475,1.268694,248.375656,17.943694,10.877518,0.782966,0.322986,0.926856,0.013723,0.887296,0.004735,0.810375,0.114423,0.787317,0.008409,0.025509,0.099711,1.0,278.0,26244,41,0.049046,0.022992,6.726418,189.020123,22.844131,39.060917,ORB_fallback,146,126.518623,74.220871,0.000954,44.263397
0005_image10350.jpg,success,224,224,1.0,3,178.219254,144.971786,106.930344,58.531597,64.863144,71.224205,22.736567,119.173927,179.38092,49.588619,22.365515,3.751612,1.01081,0.403794,0.06222,0.062342,0.007135,0.898177,0.045859,0.003937,0.000907,0.127115,0.107794,0.724081,729.0,26244,331,0.062466,0.006854,5.646585,197.591783,25.046474,37.693169,ORB_fallback,435,131.878235,73.864586,0.001048,47.115056
0006_image10098.jpg,success,224,224,1.0,3,159.969528,158.740845,147.469742,70.285767,71.849319,69.049217,38.152164,32.33548,162.286057,89.693508,49.518372,4.924004,1.577239,0.345236,0.071573,0.044617,0.006442,0.856867,0.078986,0.002032,0.000604,0.115047,0.12059,0.638702,729.0,26244,325,0.065864,0.012188,5.167471,191.23987,23.479712,38.690922,ORB_fallback,395,142.963287,74.503777,0.000483,44.471846
0007_image0649.jpg,success,224,224,1.0,3,133.305069,126.160873,118.479752,47.890091,48.622807,48.428642,22.348354,31.8577,133.349915,48.753211,21.428955,3.916589,1.065188,0.405456,0.0682,0.056947,0.007839,0.830102,0.075409,0.003304,0.00093,0.117777,0.117925,0.675912,729.0,26244,439,0.053953,0.007459,4.865846,167.711281,25.797819,37.183731,ORB_fallback,414,130.523026,74.532471,0.000556,45.331303
0008_image10125.jpg,success,224,224,1.0,3,220.867645,219.148773,215.033524,30.374928,32.271053,37.087009,11.337671,8.419942,220.958069,16.305566,10.975913,1.242767,0.566959,0.785943,0.053638,0.21767,0.011016,0.875734,0.083405,0.047502,0.00484,0.080847,0.14284,1.0,707.0,26244,35,0.030042,0.02228,5.191218,217.168443,22.976786,38.984711,ORB_fallback,167,144.481476,73.531891,8.2e-05,43.043406
0009_image10154.jpg,success,224,224,1.0,3,115.177299,95.92337,77.933571,49.463116,48.427803,48.163807,15.50269,96.776466,115.222954,30.382976,12.53985,3.006666,0.820501,0.453797,0.07663,0.056464,0.008686,0.895314,0.043241,0.003264,0.00103,0.122953,0.112518,0.681066,729.0,26244,293,0.046889,0.005097,3.909703,138.426428,25.848816,37.148777,ORB_fallback,396,136.456039,74.703392,0.000298,44.568404
0010_image10399.jpg,success,224,224,1.0,3,172.19165,162.943298,148.278717,46.616779,47.939098,49.851299,21.797073,39.843533,172.516266,43.253592,20.29691,3.605627,1.028217,0.412109,0.078122,0.06229,0.009262,0.846305,0.072059,0.003966,0.00123,0.115672,0.119991,0.67585,729.0,26244,369,0.058146,0.009968,5.330524,190.74464,25.778328,37.195057,ORB_fallback,418,138.201187,73.98896,0.00041,45.746397
0011_image0472.jpg,success,224,224,1.0,3,144.718369,118.520447,99.498901,59.206875,67.265877,65.031166,18.283642,100.740753,145.061737,57.026293,23.801511,4.098661,1.065076,0.390433,0.072903,0.045889,0.006819,0.888925,0.046453,0.002152,0.000661,0.117569,0.118132,0.679721,729.0,26244,330,0.07243,0.009376,6.337735,204.466787,24.96295,37.749878,ORB_fallback,378,132.994293,73.584816,0.000522,43.077561
0012_image0768.jpg,success,224,224,1.0,3,177.912704,167.033936,151.464127,71.523148,70.586288,76.671394,22.047832,56.624222,178.807434,91.024678,38.968505,4.632273,1.23892,0.453529,0.054042,0.086874,0.007932,0.85559,0.061893,0.00761,0.001398,0.118956,0.116736,0.695888,729.0,26244,372,0.081543,0.007846,2.893115,173.376162,25.729944,37.228905,ORB_fallback,375,143.512161,73.93898,0.001016,43.459894
